"Classification","EdgeOfFlightLine","GpsTime","Intensity","NumberOfReturns","OriginId","PointSourceId","ReturnNumber","ScanAngleRank","ScanDirectionFlag","UserData","X","Y","Z"
2.000,0.000,56179.620,106.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446184.558,4652659.284,287.200
2.000,0.000,56179.620,82.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446181.459,4652659.627,291.260
2.000,0.000,56179.631,84.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446176.751,4652659.625,291.280
2.000,0.000,56179.631,83.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446178.519,4652659.353,291.240
2.000,0.000,56179.647,125.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446186.870,4652657.259,287.150
2.000,0.000,56179.647,121.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446185.110,4652657.524,287.190
2.000,0.000,56179.658,87.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446176.716,4652657.966,291.250
2.000,0.000,56179.658,78.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446178.499,4652657.693,291.250
2.000,0.000,56179.658,83.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446180.260,4652657.413,291.290
2.000,0.000,56179.658,103.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446183.381,4652657.078,287.230
2.000,0.000,56179.675,85.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446182.873,4652655.844,291.410
2.000,0.000,56179.675,79.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446181.098,4652656.117,291.330
2.000,0.000,56179.675,76.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446174.130,4652657.193,291.280
2.000,0.000,56179.686,122.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446184.972,4652655.043,287.190
2.000,0.000,56179.703,83.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446179.393,4652654.878,291.290
2.000,0.000,56179.703,82.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446177.677,4652655.135,291.280
2.000,0.000,56179.703,79.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446174.170,4652655.673,291.330
2.000,0.000,56179.714,96.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446181.169,4652653.716,291.350
2.000,0.000,56179.714,95.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446182.959,4652653.428,291.640
2.000,0.000,56179.714,128.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446184.282,4652653.366,287.210
2.000,0.000,56179.730,58.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446183.263,4652652.396,287.230
2.000,0.000,56179.730,94.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446178.389,4652653.003,291.340
2.000,0.000,56179.730,84.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446176.636,4652653.276,291.290
2.000,0.000,56179.730,89.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446174.920,4652653.548,291.360
1.000,0.000,56179.741,111.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446182.612,4652651.808,291.310
2.000,0.000,56179.741,142.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446183.950,4652651.739,287.210
2.000,0.000,56179.741,153.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446185.718,4652651.459,287.170
2.000,0.000,56179.758,76.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446181.133,4652650.967,291.240
2.000,0.000,56179.758,76.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446179.372,4652651.247,291.280
2.000,0.000,56179.769,89.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446174.501,4652651.218,291.310
2.000,0.000,56179.769,89.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446176.246,4652650.945,291.280
2.000,0.000,56179.769,129.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446184.627,4652649.785,287.190
2.000,0.000,56179.769,143.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446186.388,4652649.520,287.160
1.000,0.000,56179.785,81.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446182.821,4652648.917,291.620
2.000,0.000,56179.785,70.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446181.023,4652649.205,291.200
2.000,0.000,56179.785,60.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446179.299,4652649.462,291.240
2.000,0.000,56179.796,86.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446174.741,4652649.549,291.300
2.000,0.000,56179.796,89.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446176.501,4652649.276,291.230
2.000,0.000,56179.796,35.000,2.000,17583.000,85.000,2.000,4.000,0.000,69.000,446183.151,4652648.388,287.200
1.000,0.000,56179.796,34.000,2.000,17583.000,85.000,1.000,4.000,0.000,69.000,446183.573,4652648.163,291.900
2.000,0.000,56179.813,130.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446186.388,4652646.674,287.160
2.000,0.000,56179.813,130.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446184.650,4652646.947,287.180
2.000,0.000,56179.824,94.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446174.147,4652647.738,291.320
2.000,0.000,56179.824,77.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446177.683,4652647.192,291.280
2.000,0.000,56179.824,73.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446179.399,4652646.927,291.250
2.000,0.000,56179.824,83.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446181.182,4652646.654,291.260
1.000,0.000,56179.840,66.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446182.527,4652645.496,291.240
2.000,0.000,56179.840,77.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446180.811,4652645.753,291.280
2.000,0.000,56179.851,86.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446176.771,4652645.628,291.290
2.000,0.000,56179.851,90.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446178.502,4652645.356,291.290
2.000,0.000,56179.851,9.000,2.000,17583.000,85.000,2.000,4.000,0.000,69.000,446183.339,4652644.756,286.860
2.000,0.000,56179.851,131.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446185.152,4652644.468,287.220
2.000,0.000,56179.851,113.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446186.927,4652644.188,287.320
2.000,0.000,56179.868,114.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446185.403,4652643.236,287.100
1.000,0.000,56179.868,34.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446183.223,4652643.097,301.150
1.000,0.000,56179.868,9.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446181.358,4652643.415,300.220
1.000,0.000,56179.868,13.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446179.598,4652643.695,299.990
2.000,0.000,56179.868,73.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446175.276,4652644.654,291.240
1.000,0.000,56179.879,14.000,2.000,17583.000,85.000,1.000,5.000,0.000,69.000,446174.378,4652643.846,299.890
1.000,0.000,56179.879,11.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446177.973,4652643.263,300.570
1.000,0.000,56179.879,8.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446181.472,4652642.703,300.920
2.000,0.000,56179.879,70.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446183.667,4652642.834,287.120
1.000,0.000,56179.895,4.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446182.668,4652641.582,301.910
1.000,0.000,56179.895,13.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446177.483,4652642.363,302.230
1.000,0.000,56179.895,4.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446173.806,4652642.998,300.500
1.000,0.000,56179.906,7.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446175.842,4652641.723,302.760
1.000,0.000,56179.906,5.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446179.311,4652641.208,302.360
1.000,0.000,56179.906,11.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446181.071,4652640.913,302.910
1.000,0.000,56179.906,67.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446183.533,4652640.894,292.030
2.000,0.000,56179.906,124.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446184.849,4652640.869,287.050
2.000,0.000,56179.906,140.000,1.000,17583.000,85.000,1.000,4.000,0.000,69.000,446186.610,4652640.597,287.070
2.000,0.000,56179.923,123.000,1.000,17583.000,85.000,1.000,4.000,1.000,69.000,446187.040,4652639.437,287.040
1.000,0.000,56179.923,10.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446176.353,4652640.534,303.300
1.000,0.000,56179.923,8.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446174.563,4652640.814,302.990
1.000,0.000,56179.934,8.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446175.219,4652640.105,303.760
1.000,0.000,56179.934,12.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446180.531,4652639.265,304.410
2.000,0.000,56179.934,41.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446184.220,4652639.259,287.820
1.000,0.000,56179.950,103.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446183.713,4652638.114,291.440
2.000,0.000,56179.962,82.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446185.252,4652637.124,286.960
2.000,0.000,56179.962,138.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446186.983,4652636.859,286.890
1.000,0.000,56179.978,17.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446182.061,4652636.096,301.270
1.000,0.000,56179.978,12.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446180.449,4652636.294,302.800
1.000,0.000,56179.978,10.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446178.903,4652636.476,304.470
1.000,0.000,56179.989,16.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446179.887,4652635.757,303.620
1.000,0.000,56179.989,50.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446183.119,4652635.347,301.010
2.000,0.000,56180.006,57.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446184.851,4652634.304,286.810
1.000,0.000,56180.006,45.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446181.081,4652634.348,302.590
1.000,0.000,56180.006,7.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446177.790,4652634.795,304.370
1.000,0.000,56180.017,12.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446174.330,4652634.629,304.320
2.000,0.000,56180.017,82.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446183.167,4652633.858,286.950
1.000,0.000,56180.017,61.000,1.000,17583.000,85.000,1.000,5.000,0.000,69.000,446187.022,4652633.147,290.220
2.000,0.000,56180.033,56.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446186.741,4652632.356,286.640
2.000,0.000,56180.033,52.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446184.973,4652632.629,286.700
2.000,0.000,56180.033,98.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446183.227,4652632.887,286.950
1.000,0.000,56180.033,15.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446182.763,4652632.497,300.430
1.000,0.000,56180.033,11.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446181.172,4652632.687,302.080
1.000,0.000,56180.033,12.000,1.000,17583.000,85.000,1.000,5.000,1.000,69.000,446174.323,4652633.695,303.330
