"Classification","EdgeOfFlightLine","GpsTime","Intensity","NumberOfReturns","OriginId","PointSourceId","ReturnNumber","ScanAngleRank","ScanDirectionFlag","UserData","X","Y","Z"
1.000,0.000,51758.289,47.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.150
1.000,0.000,51758.322,49.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.090
2.000,0.000,51758.322,45.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.110
2.000,0.000,51758.328,2.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.140
1.000,0.000,51758.360,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.190
2.000,0.000,51758.386,45.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.130
2.000,0.000,51758.386,54.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.110
1.000,0.000,51758.393,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.380
1.000,0.000,51758.418,52.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.140
1.000,0.000,51758.425,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.250
2.000,0.000,51758.451,52.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.100
1.000,0.000,51758.457,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.320
1.000,0.000,51758.457,7.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.330
1.000,0.000,51758.457,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.280
1.000,0.000,51758.457,7.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.270
1.000,0.000,51758.489,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.200
2.000,0.000,51758.489,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.080
2.000,0.000,51758.522,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.200
2.000,0.000,51758.522,9.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.210
1.000,0.000,51758.522,9.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.280
2.000,0.000,51758.522,11.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.230
1.000,0.000,51758.547,77.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.350
2.000,0.000,51758.547,52.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.250
1.000,0.000,51758.547,52.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.300
2.000,0.000,51758.554,7.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.310
1.000,0.000,51758.554,7.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.460
2.000,0.000,51758.554,11.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.180
2.000,0.000,51758.554,11.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.230
2.000,0.000,51758.580,66.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.430
2.000,0.000,51758.580,77.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.470
1.000,0.000,51758.580,85.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.320
2.000,0.000,51758.580,77.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.390
2.000,0.000,51758.586,7.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.270
2.000,0.000,51758.586,9.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.280
2.000,0.000,51758.612,89.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.360
2.000,0.000,51758.612,87.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.320
2.000,0.000,51758.612,70.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.270
1.000,0.000,51758.618,7.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.460
1.000,0.000,51758.644,80.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.540
12.000,0.000,53290.388,56.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.200
12.000,0.000,53290.388,74.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.320
12.000,0.000,53290.388,79.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.430
12.000,0.000,53290.392,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.500
12.000,0.000,53290.420,56.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.190
12.000,0.000,53290.420,59.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.420
12.000,0.000,53290.420,84.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.280
12.000,0.000,53290.420,79.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.350
12.000,0.000,53290.420,61.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.420
12.000,0.000,53290.452,58.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.140
12.000,0.000,53290.452,61.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.230
12.000,0.000,53290.452,71.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.220
12.000,0.000,53290.452,77.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.250
12.000,0.000,53290.452,71.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.260
12.000,0.000,53290.456,7.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.290
12.000,0.000,53290.456,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.210
12.000,0.000,53290.456,2.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.250
12.000,0.000,53290.457,2.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.150
12.000,0.000,53290.484,51.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.200
12.000,0.000,53290.484,53.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.180
12.000,0.000,53290.489,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.270
12.000,0.000,53290.489,2.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.230
12.000,0.000,53290.489,2.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.130
12.000,0.000,53290.517,51.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.120
12.000,0.000,53290.517,51.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.170
12.000,0.000,53290.517,53.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.140
12.000,0.000,53290.517,58.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.130
12.000,0.000,53290.521,2.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.260
12.000,0.000,53290.521,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.240
12.000,0.000,53290.521,2.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,309.920
12.000,0.000,53290.553,2.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.300
12.000,0.000,53290.581,46.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.070
12.000,0.000,53290.586,2.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.260
12.000,0.000,53290.586,2.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.180
2.000,0.000,51758.328,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.020
1.000,0.000,51758.354,52.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.170
2.000,0.000,51758.354,42.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.030
2.000,0.000,51758.386,52.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.150
2.000,0.000,51758.393,2.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.080
1.000,0.000,51758.393,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.280
2.000,0.000,51758.418,52.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.160
1.000,0.000,51758.418,49.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.190
1.000,0.000,51758.425,7.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.260
1.000,0.000,51758.425,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.240
1.000,0.000,51758.425,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.270
2.000,0.000,51758.451,56.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.180
2.000,0.000,51758.451,49.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.120
2.000,0.000,51758.457,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.200
2.000,0.000,51758.483,70.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.250
2.000,0.000,51758.483,56.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.170
1.000,0.000,51758.483,54.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.180
2.000,0.000,51758.483,56.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.170
1.000,0.000,51758.489,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.250
1.000,0.000,51758.489,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.300
2.000,0.000,51758.515,73.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.250
2.000,0.000,51758.515,89.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.220
2.000,0.000,51758.515,59.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.180
1.000,0.000,51758.515,56.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.210
2.000,0.000,51758.522,7.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.160
1.000,0.000,51758.547,92.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.260
2.000,0.000,51758.547,61.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.220
2.000,0.000,51758.547,59.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.290
1.000,0.000,51758.554,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.300
2.000,0.000,51758.554,9.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.190
1.000,0.000,51758.580,77.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.500
2.000,0.000,51758.586,9.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.340
2.000,0.000,51758.586,7.000,1.000,16762.000,11007.000,1.000,10.000,1.000,32.000,-93.756,41.918,310.430
2.000,0.000,51758.612,66.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.320
12.000,0.000,53290.360,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.280
12.000,0.000,53290.388,66.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.320
12.000,0.000,53290.392,10.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.340
12.000,0.000,53290.392,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.420
12.000,0.000,53290.392,7.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.210
12.000,0.000,53290.420,53.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.190
12.000,0.000,53290.420,74.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.530
12.000,0.000,53290.424,7.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.510
12.000,0.000,53290.424,7.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.450
12.000,0.000,53290.424,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.280
12.000,0.000,53290.452,51.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.130
12.000,0.000,53290.452,56.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.210
12.000,0.000,53290.452,79.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.360
12.000,0.000,53290.456,7.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.350
12.000,0.000,53290.484,51.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.150
12.000,0.000,53290.484,51.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.130
12.000,0.000,53290.484,53.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.120
12.000,0.000,53290.484,61.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.180
12.000,0.000,53290.489,10.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.210
12.000,0.000,53290.489,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.070
12.000,0.000,53290.489,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.220
12.000,0.000,53290.489,5.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.040
12.000,0.000,53290.517,53.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.050
12.000,0.000,53290.517,59.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.140
12.000,0.000,53290.521,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.120
12.000,0.000,53290.521,2.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.120
12.000,0.000,53290.549,46.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.060
12.000,0.000,53290.549,46.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.090
12.000,0.000,53290.549,48.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.150
12.000,0.000,53290.549,53.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.150
12.000,0.000,53290.549,53.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.080
12.000,0.000,53290.553,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.250
12.000,0.000,53290.553,2.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.050
12.000,0.000,53290.613,43.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.180
12.000,0.000,53290.618,2.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.240
1.000,0.000,51758.360,2.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.250
2.000,0.000,51758.515,66.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.220
2.000,0.000,51758.580,70.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.310
12.000,0.000,53290.424,7.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.550
12.000,0.000,53290.456,2.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.310
12.000,0.000,53290.521,2.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.220
12.000,0.000,53290.424,5.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.310
2.000,0.000,51758.418,54.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.120
2.000,0.000,51758.418,47.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.110
2.000,0.000,51758.451,56.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.150
1.000,0.000,51758.451,54.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.220
2.000,0.000,51758.483,52.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.170
2.000,0.000,51758.489,4.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.150
2.000,0.000,51758.515,54.000,1.000,16762.000,11007.000,1.000,11.000,0.000,32.000,-93.756,41.918,310.170
2.000,0.000,51758.522,7.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.190
2.000,0.000,51758.586,9.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.400
2.000,0.000,51758.586,11.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.230
1.000,0.000,51758.618,9.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.400
2.000,0.000,51758.618,11.000,1.000,16762.000,11007.000,1.000,11.000,1.000,32.000,-93.756,41.918,310.390
12.000,0.000,53290.424,7.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.250
12.000,0.000,53290.424,10.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.250
12.000,0.000,53290.424,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.310
12.000,0.000,53290.456,10.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.210
12.000,0.000,53290.456,5.000,1.000,16762.000,11008.000,1.000,14.000,1.000,32.000,-93.756,41.918,310.190
12.000,0.000,53290.484,79.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.290
12.000,0.000,53290.553,5.000,1.000,16762.000,11008.000,1.000,13.000,1.000,32.000,-93.756,41.918,310.270
12.000,0.000,53290.581,43.000,1.000,16762.000,11008.000,1.000,13.000,0.000,32.000,-93.756,41.918,310.150
12.000,0.000,53290.581,46.000,1.000,16762.000,11008.000,1.000,14.000,0.000,32.000,-93.756,41.918,310.150
